Fund_Name,Fund_Category,Period,Overall_Score,Star_Rating,Overall_Rank
FBN Balanced Fund,REITs and/or Infrastructure Funds,6-years,3.5,4,25
FSDH Treasury Bill Fund,REITs and/or Infrastructure Funds,6-years,3.5,4,25
Kedari Investment Fund,REITs and/or Infrastructure Funds,6-years,3.3,3,25
Lead Balanced Fund,REITs and/or Infrastructure Funds,6-years,3.2,3,25
Lotus Halal Inv. Fund,REITs and/or Infrastructure Funds,6-years,3.2,3,25
Stanbic IBTC Aggressive Fund (Sub Fund),REITs and/or Infrastructure Funds,6-years,3.15,3,25
Stanbic IBTC Conservative Fund (Sub Fund),REITs and/or Infrastructure Funds,6-years,3.1,3,25
Stanbic IBTC Ethical Fund,REITs and/or Infrastructure Funds,6-years,3.05,3,25
Stanbic IBTC Guaranteed Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Stanbic IBTC Imaan Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Union Homes REITS,REITs and/or Infrastructure Funds,6-years,3,3,25
Valualliance Value Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Vantage Balanced Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Wealth For Women Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Zenith Ethical Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Afrinvest Equity Fund,Large Cap Equity Funds,6-years,3,3,25
FBN Nigeria Smart Beta Equity Fund,Large Cap Equity Funds,6-years,3,3,25
Legacy Equity Fund,Large Cap Equity Funds,6-years,3,3,25
Pacam Equity Fund,Large Cap Equity Funds,6-years,3,3,25
Stanbic IBTC Nigerian Equity Fund,Large Cap Equity Funds,6-years,3,3,25
Vantage Equity Income Fund,Large Cap Equity Funds,6-years,3,3,25
FBN Nigeria Eurobond (USD) Fund - Institutional,Fixed Income Funds,6-years,3,3,25
Legacy Debt(formerly Short Maturity) Fund,Fixed Income Funds,6-years,3,3,25
Nigerian Eurobond Fund,Fixed Income Funds,6-years,3,3,25
Pacam Eurobond Fund,Fixed Income Funds,6-years,3,3,25
SFS Real Estate Investment Trust Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
UPDC Real Estate Investment Fund,REITs and/or Infrastructure Funds,6-years,3,3,25
Trustbanc Money Market Fund,Cash/Money Market Funds,6-years,2.9,3,25
Greenwich Plus Money Market,Cash/Money Market Funds,6-years,2.85,3,25
Norrenberger Money Market Fund,Cash/Money Market Funds,6-years,2.85,3,25
AXA Mansard Money Market Fund,Cash/Money Market Funds,6-years,2.8,3,25
AIICO Money market fund,Cash/Money Market Funds,6-years,2.8,3,25
Legacy Money Market Fund,Cash/Money Market Funds,6-years,2.8,3,25
Zenith Money Market Fund,Cash/Money Market Funds,6-years,2.8,3,25
Coral Money Market Fund (FSDH Treasury Bill Fund),Cash/Money Market Funds,6-years,2.75,3,25
Coral Money Market Fund(FSDH Treasury Bill Fund),Cash/Money Market Funds,6-years,2.75,3,25
Emerging Africa Money Market Fund,Cash/Money Market Funds,6-years,2.65,3,25
Chapel Hill Denham Money Market Fund(Frml NGIF),Cash/Money Market Funds,6-years,2.6,3,25
Vetiva Money Market Fund,Cash/Money Market Funds,6-years,2.55,3,25
ACAP Canary Growth Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
AIICO Growthd Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Coronation Growthd Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
PACAM Growthd Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Stanbic IBTC Growthd Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
ACAP Income Fund(Fmrl BGL Nubian),Fixed Income Funds,6-years,2.5,3,25
Anchoria Fixed Income Fund,Fixed Income Funds,6-years,2.5,3,25
CEAT Fixed Income Fund(Frml BGL Sapphire),Fixed Income Funds,6-years,2.5,3,25
FBN Fixed Income Fund,Fixed Income Funds,6-years,2.5,3,25
Lotus Halal Fixed Income Fund,Fixed Income Funds,6-years,2.5,3,25
PACAM Fixed Income Fund,Fixed Income Funds,6-years,2.5,3,25
SFS Fixed Income Fund,Fixed Income Funds,6-years,2.5,3,25
Vantage Income Fund,Fixed Income Funds,6-years,2.5,3,25
AIICO Balanced Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
ARM Ethical Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Afrinvest Plutus Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Coronation Balanced Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Frontier Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Nigeria Entertainment Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
PACAM Balanced Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Stanbic IBTC Absolute Fund (Sub Fund),REITs and/or Infrastructure Funds,6-years,2.5,3,25
Stanbic IBTC Balanced Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
Stanbic IBTC Guaranteed Investment Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
United Capital Balanced Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
ValuAlliance Value Fund,REITs and/or Infrastructure Funds,6-years,2.5,3,25
AXA Mansard Equity Income Fund,Large Cap Equity Funds,6-years,2.5,3,25
Anchoria Equity Fund,Large Cap Equity Funds,6-years,2.5,3,25
Meristem Equity Market Fund,Large Cap Equity Funds,6-years,2.5,3,25
Paramount Equity Fund,Large Cap Equity Funds,6-years,2.5,3,25
Zenith Equity Fund,Large Cap Equity Funds,6-years,2.5,3,25
Nigeria International Debt Fund,Fixed Income Funds,6-years,2.5,3,25
Stanbic IBTC Bond Fund,Fixed Income Funds,6-years,2.5,3,25
United Capital Bond Fund,Fixed Income Funds,6-years,2.5,3,25
First Allay Asset Management Money Market Fund,Cash/Money Market Funds,6-years,2.5,2,112
Meristem Money Market Fund,Cash/Money Market Funds,6-years,2.4,2,112
Chapel Hill Denham Money Market Fund,Cash/Money Market Funds,6-years,2.25,2,112
Greenwich PLUS (Money Market FUND),Cash/Money Market Funds,6-years,2.25,2,112
FAAM Money Market Fund,Cash/Money Market Funds,6-years,2.15,2,112
EDC Money Market ClassA,Cash/Money Market Funds,6-years,2.05,2,112
Stanbic IBTC Shariah Fixed Income Fund,Fixed Income Funds,6-years,2,2,112
Anchoria Money Market Fund,Cash/Money Market Funds,6-years,1.65,2,112
UBA Money Market Fund,Cash/Money Market Funds,6-years,1.55,2,112
